,0,1,2
0,0.5826614681374291,0.7110488967803887,0.8771569724578228
1,0.34898607623944206,0.4504381138677658,0.6557944267314033
2,0.2164249634357354,0.283415101724341,0.4656486183822731
3,0.14427022445337712,0.19283112445699857,0.31662608001784687
4,0.09674531172402354,0.1305952555930236,0.2260390807552017
5,0.06438318801542017,0.0900871346248748,0.15499465277424695
6,0.04160633996606916,0.06395306458902444,0.1115711364312024
7,0.027451197397481274,0.0437494354546287,0.0828884677035855
8,0.01875716124099954,0.03128652506512183,0.06142742173884051
9,0.012836293984014167,0.02283354190095033,0.04619317647911168
10,0.008672785620479144,0.01661517769659042,0.03564156164290468
11,0.005940630513729306,0.01179620947268,0.027664912690716626
12,0.004179461782368339,0.008819366260282511,0.021472559180472663
13,0.0029208402024969017,0.006408854609099523,0.01690244360301121
14,0.0020977509780393255,0.004635132800904537,0.013121485392128079
15,0.0015071472847038507,0.0034036954747394617,0.010157071853596863
16,0.0011169637966982502,0.0024876394094989615,0.007877286934265142
17,0.0008107429518856575,0.0018618857300826662,0.006178291720180462
18,0.0005699605931636018,0.0014114332933228752,0.004862267987498746
19,0.00039331174618061456,0.0010428623874166713,0.0037917068056066614
20,0.00027406324105619547,0.0007651616544987164,0.0029225914575066896
21,0.00019382168966810854,0.0005702530696352841,0.0022809649837611484
22,0.0001347358984199544,0.00043270673122923974,0.0017645110124850244
23,9.52938739249086e-05,0.00032217465141771946,0.001393382875301792
24,6.760225369054258e-05,0.00023946465013370956,0.0011001518081048915
25,4.8175864623143697e-05,0.0001778382370958047,0.0008535747204236575
26,3.358019145495169e-05,0.00013589239093997913,0.0006719597777662102
27,2.3650060580670802e-05,0.00010333534773037414,0.0005324395960165695
28,1.6938508591056405e-05,7.758014686579475e-05,0.00041854045882387143
29,1.21182112395502e-05,5.8431287893539584e-05,0.00033529183722086424
30,8.544162418007954e-06,4.3574716231600355e-05,0.0002647455435301753
31,6.025094028246926e-06,3.2603557600766395e-05,0.00021324182388958335
32,4.330547343735661e-06,2.475499263603935e-05,0.000168572044815219
33,3.0740050251708656e-06,1.844742066010999e-05,0.0001325801929643624
