,0,1,2
0,0.6670845825213587,0.7759273920320788,0.908501647181324
1,0.40717773894970843,0.5343916155971516,0.8797332937809764
2,0.27801049511356146,0.37203919317848655,0.7414635092081676
3,0.1896088746395664,0.24344136071202677,0.5886560687574153
4,0.13418243962836549,0.1623891198790009,0.43391904920524105
5,0.09730526937299089,0.11140321077650875,0.32600348314378713
6,0.07183907858215066,0.07681238235123647,0.23615706230009376
7,0.05294069024110302,0.05480170114427897,0.17093045093373568
8,0.03936100804257655,0.0396364407319517,0.12357682455714097
9,0.02973390385586989,0.029444742033336104,0.09090951694823922
10,0.022387053025746527,0.021931659162477413,0.07093533319679361
11,0.017022331137641407,0.016597125878678308,0.05610864281687275
12,0.012962576277132603,0.0127981409971542,0.04374852988651674
13,0.00988219287992023,0.009931999458662657,0.03511149096496419
14,0.007469355491490946,0.007708646933649307,0.027393479311456546
15,0.005636180350863933,0.00587346364158198,0.021786128917644674
16,0.004285705322064414,0.004447338666869017,0.017676906471514157
17,0.0032590355938689557,0.003420969596964039,0.01448761884819172
18,0.0024894669039095554,0.0026779764137312614,0.011733874466459088
19,0.0018925111369549588,0.0020675927129076965,0.009766840317478973
20,0.0014435992343410512,0.0015705523583818715,0.008100992754534894
21,0.0010987269073388657,0.0012088870178067791,0.006651873523774554
22,0.0008377243763223085,0.0009322958598353642,0.005425667334013551
23,0.0006391887888480883,0.0007209658242766871,0.0045260692600879145
24,0.00048598523461050775,0.0005614668698385654,0.0037430942696127733
25,0.0003704000937859385,0.00044148213630167403,0.0031102940263715547
26,0.0002837360725424138,0.000343539917922899,0.002564170391213602
27,0.00021895497848764496,0.00026885281171994254,0.002136705532923269
28,0.00017116131572687858,0.0002101859718000231,0.0017913701845232125
29,0.0001313417591765999,0.00016049179206705966,0.0014891528562177808
30,0.000102600375793402,0.00012383065188969482,0.001232881034593739
31,7.863340743698353e-05,9.577273502812681e-05,0.0010277401656711728
32,6.13155316856913e-05,7.482094223753481e-05,0.0008525703405309023
33,4.7585379880423775e-05,5.862874338351479e-05,0.000701007664331531
34,3.686760946564503e-05,4.496253697478254e-05,0.0005755107148440475
35,2.819452521997773e-05,3.467510560038515e-05,0.00047976336476884704
36,2.1899956589498763e-05,2.6788943150865256e-05,0.0004007204107068066
37,1.7095987675874986e-05,2.0637555076373445e-05,0.0003366806402595549
38,1.32508977703396e-05,1.601039420201439e-05,0.000279464671533211
39,1.0144571046649906e-05,1.2534895412871239e-05,0.0002329185357121562
40,7.819936549825723e-06,9.69805437912051e-06,0.00019553753719155485
41,6.006712803744357e-06,7.513618594016392e-06,0.00016317540578191265
42,4.616807783134465e-06,5.814368110944115e-06,0.00013786834843409042
43,3.587341422792712e-06,4.55206145893799e-06,0.00011555320789077526
44,2.7803913766231085e-06,3.5233992179661233e-06,9.796760195528192e-05
45,2.154709072116194e-06,2.730078880059739e-06,8.280764706894107e-05
46,1.6739845604633417e-06,2.1170713235701636e-06,6.998723416000014e-05
47,1.2940593135795538e-06,1.6369672330301317e-06,5.849369000939611e-05
48,1.0070799563185e-06,1.27434843367108e-06,4.9317277169647045e-05
49,7.792464291543732e-07,9.980909784005957e-07,4.119509162398592e-05
50,6.034927665868146e-07,7.783658391563527e-07,3.438061819963488e-05
51,4.668552881707433e-07,6.091832875721866e-07,2.8524961737106118e-05
52,3.636095659000322e-07,4.666102902714793e-07,2.3787135322219458e-05
53,2.81908549939931e-07,3.629658874139497e-07,1.9851124342511314e-05
