,0,1,2
0,1.6307127509480683,0.6871754053233494,0.5183201933986531
1,66.663277270473,8.42214375582903,2.1523274702215174
2,3082.6845425218994,513.192408331088,26.723275559696845
3,143190.91684675205,31763.23376040882,373.4520899075191
4,6706567.459985636,1973003.566670123,5222.859622278391
5,320062799.4599922,122743621.55936839,73050.99901903888
6,15882760511.458065,7641072412.40461,1021847.7305126197
7,844300690759.3793,475806486553.5389,14295147.383037047
8,49236880385042.28,29631644100987.51,200001685.4395961
9,3137261161042796.0,1846076251104932.0,2798474577.1723075
10,2.1244975107679085e+17,1.1503836902610966e+17,39160829110.36533
11,1.4866695154858873e+19,7.16927230650619e+18,548056439777.7223
12,1.0564186883811631e+21,4.468106385567056e+20,7670817731396.044
13,7.557210779263148e+22,2.7847006073078816e+22,107374479699595.08
14,5.421420833293372e+24,1.735546302742381e+24,1503154268307361.8
15,3.8938165407735515e+26,1.0816705385703326e+26,2.104500992171632e+16
16,2.7980111094007025e+28,6.741464436899593e+27,2.946712884057798e+17
17,2.0109942370248854e+30,4.2015900800968285e+29,4.126383679013711e+18
18,1.4454674701448638e+32,2.618624251921343e+31,5.778890482133544e+19
19,1.0390123782686384e+34,1.6320472319980602e+33,8.093984159356244e+20
20,7.468601222339877e+35,1.0171670269228069e+35,1.1337654157451637e+22
21,5.368591504264279e+37,6.339453618068011e+36,1.588279580455157e+23
22,3.85906857473674e+39,3.95103963338034e+38,2.2252227857299628e+24
23,2.7739911078247176e+41,2.4624699786692297e+40,3.117903952909773e+25
24,1.994012202726134e+43,1.534724772073568e+42,4.36912558913861e+26
25,1.4333446592505908e+45,9.565112050930685e+43,6.123063216368981e+27
26,1.0303232112983019e+47,5.961418635065191e+45,8.581934939068694e+28
27,7.406215550290612e+48,3.715430823523966e+47,1.202939476822232e+30
28,5.323769165864888e+50,2.315627713764311e+49,1.6863364671539833e+31
29,3.826855710388152e+52,1.4432059062581853e+51,2.3642117724792344e+32
30,2.7508376493475826e+54,8.994724305145754e+52,3.314896616152309e+33
31,1.9773695043882674e+56,5.6059267062915476e+54,4.648307338086148e+34
32,1.4213816504821095e+58,3.4938718709093407e+56,6.518695079124614e+35
33,1.021723958082767e+60,2.1775419640493624e+58,9.142547392209401e+36
34,7.344402161289139e+61,1.3571445034022788e+60,1.282372567522487e+38
35,5.279336231801303e+63,8.458349981416649e+61,1.7988766042244432e+39
36,3.7949162418681727e+65,5.271633509090362e+63,2.5236456888828454e+40
37,2.727878780689203e+67,3.2855249446074614e+65,3.54074726451168e+41
38,1.9608661082026032e+69,2.047690557969137e+67,4.968218502586788e+42
39,1.4095186052691302e+71,1.2762151229677702e+69,6.971806462386379e+43
40,1.013196510608e+73,7.953960786472559e+70,9.784271243135536e+44
41,7.283104779679918e+74,4.957274918167521e+72,1.3732506487617477e+46
42,5.2352741720329547e+76,3.0896021836174563e+74,1.9275645952261237e+47
43,3.763243353689591e+78,1.925582464274986e+76,2.7058610378989085e+48
44,2.705111532599958e+80,1.2001117316605527e+78,3.7987356371702295e+49
45,1.944500452417184e+82,7.479649379812727e+79,5.3334630478393845e+50
46,1.3977545708869482e+84,4.661662191029884e+81,7.488860552933891e+51
47,1.0047402344425791e+86,2.9053627088361556e+83,1.0516180213108673e+53
48,7.222318994579744e+87,1.8107559329670893e+85,1.4768476641748517e+54
49,5.19157986028158e+89,1.1285465456011665e+87,2.0741891625302494e+55
50,3.7318348117701265e+91,7.033622159676697e+88,2.913369505819991e+56
